id,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional stability,liwc_Achiev,liwc_Adverbs,liwc_Affect,liwc_Anger,liwc_Anx,liwc_Article,liwc_Assent,liwc_AuxVb,liwc_Bio,liwc_Body,liwc_Cause,liwc_Certain,liwc_CogMech,liwc_Conj,liwc_Death,liwc_Discrep,liwc_Excl,liwc_Family,liwc_Feel,liwc_Filler,liwc_Friends,liwc_Funct,liwc_Future,liwc_Health,liwc_Hear,liwc_Home,liwc_Humans,liwc_I,liwc_Incl,liwc_Ingest,liwc_Inhib,liwc_Insight,liwc_Ipron,liwc_Leisure,liwc_Money,liwc_Motion,liwc_Negate,liwc_Negemo,liwc_Nonflu,liwc_Numbers,liwc_Past,liwc_Percept,liwc_Posemo,liwc_Ppron,liwc_Prep,liwc_Present,liwc_Pronoun,liwc_Quant,liwc_Relativ,liwc_Relig,liwc_Sad,liwc_See,liwc_Sexual,liwc_SheHe,liwc_Social,liwc_Space,liwc_Swear,liwc_Tentat,liwc_They,liwc_Time,liwc_Verbs,liwc_We,liwc_Work,liwc_You
-Areopagan-,high,high,medium,low,high,0.0033140016570008283,0.020712510356255178,0.008285004142502071,0.0016570008285004142,0.0,0.021541010770505385,0.0016570008285004142,0.04722452361226181,0.0033140016570008283,0.0008285004142502071,0.009113504556752278,0.0016570008285004142,0.06048053024026512,0.033140016570008285,0.0,0.010770505385252692,0.015741507870753936,0.0,0.0016570008285004142,0.0008285004142502071,0.0,0.23777961888980945,0.0033140016570008283,0.0008285004142502071,0.0,0.0008285004142502071,0.0033140016570008283,0.02568351284175642,0.014913007456503728,0.0,0.0,0.004142502071251036,0.0231980115990058,0.0008285004142502071,0.0016570008285004142,0.004142502071251036,0.012427506213753107,0.0016570008285004142,0.0,0.0033140016570008283,0.0016570008285004142,0.0016570008285004142,0.006628003314001657,0.04473902236951118,0.043910521955260975,0.05219552609776305,0.06793703396851698,0.009942004971002486,0.033140016570008285,0.0,0.0,0.0,0.0024855012427506215,0.0,0.027340513670256836,0.016570008285004142,0.0024855012427506215,0.013256006628003313,0.0033140016570008283,0.009113504556752278,0.06628003314001657,0.0,0.0016570008285004142,0.015741507870753936
-BigSexy-,high,low,low,medium,high,0.002736925785020726,0.01827267049003464,0.010300380444040656,0.00035205269433876557,5.6782692635284766e-05,0.034875929816591905,0.0006473226960422463,0.04288228947816705,0.002231559820566691,0.0007552098120492874,0.006308557151780137,0.003798762137300551,0.0642666515246153,0.028328885355743568,0.00014763500085174038,0.00797796831525751,0.014542047583896428,0.00042019192550110727,0.001181080006813923,0.0021918119357219918,5.678269263528477e-06,0.24003179830787577,0.005116120606439158,0.0007892794276304582,0.0008914882743739708,0.0004145136562375788,0.0012946453920844926,0.016075180285049118,0.017494747600931237,0.000238487309068196,0.000738175004258702,0.007892794276304581,0.022798251093066834,0.0013400715461927204,0.0009596275055363126,0.00466185906535688,0.0111464425643064,0.0014138890466185907,0.0003293396172846516,0.0023224121287831467,0.012719323150303788,0.004281415024700471,0.00868207370393504,0.0325421611492817,0.05682811878939299,0.04250184543751065,0.055340412242348536,0.012094713531315655,0.03662483674975867,0.000726818465731645,0.0003918005791834649,0.002169098858667878,0.0005621486570893192,0.004156493100902845,0.025898586110953383,0.02068025665777071,0.00017602634716938279,0.011788086991085116,0.0037703707909829084,0.011907330645619215,0.06605530634262677,0.003026517517460678,0.0020896030889784793,0.006757140423598887
-BlitzN9ne,high,low,medium,medium,high,0.003022168494782315,0.02108406961654015,0.014026417308136745,0.0014221969387210895,0.0001955520790741498,0.02935058932285648,0.001066647704040817,0.03752822172050275,0.003111055803452383,0.0009599829336367354,0.007377646619615651,0.004479920356971432,0.06140335282928303,0.02492400135108709,0.0006044336989564629,0.00732431423441361,0.012142006364331302,0.00044443654335034045,0.0011377575509768714,0.0033954951911966008,8.88873086700681e-05,0.22982702529732804,0.004124371122291159,0.0009955378571047625,0.0004977689285523812,0.0001777746173401362,0.0009244280101687081,0.017173028035057155,0.016355264795292528,0.0001777746173401362,0.0008533181632326537,0.0065954383033190525,0.02492400135108709,0.0014221969387210895,0.0011377575509768714,0.00437325558656735,0.008035412703774156,0.002791061492240138,0.0003911041581482996,0.0026666192601020426,0.009919823647579599,0.0047110273595136086,0.011022026275088442,0.03751044425876873,0.053936818900997316,0.04474587118451227,0.062434445609855824,0.01189312190005511,0.03644379655472792,0.0008533181632326537,0.0004977689285523812,0.003022168494782315,0.0011555350127108851,0.003306607882526533,0.027981724769337434,0.019981866989031306,0.0010844251657748307,0.012977547065829941,0.002844393877442179,0.013937529999466677,0.06460329594140549,0.0014577518621891167,0.0013866420152530623,0.01375975538212654
-CrestiaBell,high,medium,high,medium,medium,0.0027274372430909233,0.025481933421231784,0.01824970054204045,0.000866058271502805,0.0002391354928776402,0.03274648190756874,0.000536439078617409,0.038563291193781615,0.002593866066888998,0.0008832932619804727,0.006333859000542902,0.005431176374275053,0.06255008919107573,0.02713218375946847,0.0004761166119455719,0.006874606826779728,0.014613117551252552,0.00024128986668734865,0.0009306894857940591,0.00922502865317167,2.5852485716501642e-05,0.2363412700464483,0.003500857440776264,0.0007023258619649613,0.0006441577691028325,0.0003188473238368536,0.0011008850167610283,0.011198435062864628,0.016028541144231016,0.00032961919288539593,0.0007798833191144662,0.005239437105210999,0.025102763630723095,0.0017881302620580302,0.0006247684048154564,0.004162250200356764,0.007953948105443672,0.0023547305740113577,0.0004545728738484872,0.0028566996716734316,0.011663779805761658,0.0037938522788966158,0.015798023146592212,0.027571676016649,0.06065854898615169,0.0371349413579449,0.0526744396473721,0.012932705979679946,0.0386623923890282,0.00021974612859026395,0.0005278215833785752,0.002066044483510423,0.0009048370000775575,0.004405694440853821,0.02398033487586498,0.02143601940659928,0.0003964047809863585,0.012965021586825573,0.003110915781219031,0.021087010849426505,0.05879717001456357,0.0027748334669045094,0.000975931335797937,0.007258085364907836
-dyad-,high,medium,low,medium,medium,0.0028945493409333807,0.025961881011756324,0.013181332383327396,0.0005789098681866762,0.00013359458496615604,0.027565016031350194,0.0005789098681866762,0.03954399714998219,0.002939080869255433,0.0015586034912718205,0.00774848592803705,0.003428927680798005,0.07129497684360528,0.03357677235482722,8.906305664410402e-05,0.006946918418240114,0.016565728535803348,0.00026718916993231207,0.0025382971143569646,0.0040969006056287855,0.0,0.23387958674741718,0.003651585322408265,0.0006234413965087282,0.0009351620947630922,0.00026718916993231207,0.0012023512646954044,0.023423583897399358,0.01928215176344852,0.00017812611328820805,0.0006679729248307802,0.007926612041325259,0.02297826861417884,0.0017367296045600286,0.0006679729248307802,0.003562522265764161,0.010019593872461702,0.002226576416102601,0.00017812611328820805,0.0023601710010687565,0.01371571072319202,0.005789098681866761,0.010687566797292483,0.03268614178838618,0.05241360883505522,0.04163697898111863,0.055664410402565014,0.012557890986818667,0.03317598859992875,0.00017812611328820805,0.0003562522265764161,0.0021820448877805485,0.0005789098681866762,0.0021375133594584966,0.01750089063056644,0.018881368008550052,4.453152832205201e-05,0.0154969718560741,0.004141432133950837,0.01371571072319202,0.06465977912361952,0.0009351620947630922,0.0010687566797292483,0.0025382971143569646
-fwer,low,low,low,medium,low,0.006430868167202572,0.012861736334405145,0.012861736334405145,0.0,0.0,0.03215434083601286,0.0,0.03536977491961415,0.003215434083601286,0.0,0.003215434083601286,0.00964630225080386,0.06109324758842444,0.01607717041800643,0.0,0.006430868167202572,0.01929260450160772,0.0,0.0,0.0,0.0,0.24437299035369775,0.006430868167202572,0.003215434083601286,0.0,0.0,0.003215434083601286,0.03536977491961415,0.01607717041800643,0.0,0.0,0.0,0.02572347266881029,0.006430868167202572,0.003215434083601286,0.00964630225080386,0.01607717041800643,0.0,0.0,0.006430868167202572,0.01607717041800643,0.003215434083601286,0.012861736334405145,0.03536977491961415,0.0707395498392283,0.03215434083601286,0.06109324758842444,0.01607717041800643,0.03858520900321544,0.0,0.0,0.003215434083601286,0.0,0.0,0.012861736334405145,0.01929260450160772,0.0,0.012861736334405145,0.0,0.00964630225080386,0.06109324758842444,0.0,0.0,0.0
-tactical-throw-away,high,low,medium,low,medium,0.0028656776872057112,0.018166168801579667,0.010136195635664017,0.0011341197914029669,8.100855652878335e-05,0.03476279682041416,0.0005164295478709939,0.044483823603868156,0.0030681990785276694,0.0011746240696673587,0.005994633183129968,0.004921269809123588,0.06213356285757683,0.026975849324084856,0.0004151688522100147,0.008597033061617134,0.013265151131588274,0.00035441243481342715,0.0008303377044200294,0.0016505493392739608,1.0126069566097919e-05,0.24156751556883196,0.006318667409245101,0.0004860513391727001,0.0009721026783454002,0.0005265556174370917,0.0015796668523112753,0.0067945926788517035,0.01901675864513189,0.0006581945217963648,0.0007999594957217356,0.004880765530859197,0.022652017619361045,0.0016606754088400587,0.002106222469748367,0.005225051896106526,0.012232292035846287,0.0022682395828059337,0.00030378208698293756,0.002025213913219584,0.008060351374613944,0.004425092400384791,0.007726191078932712,0.029355475672117867,0.05835653890942231,0.04490911852564427,0.05200749329147891,0.011260189357500887,0.038124651916358665,0.0004860513391727001,0.0004759252696066022,0.00248088704369399,0.0010733633740063794,0.0048098830438965115,0.03217052301149309,0.02219634448888664,0.0007189509391929522,0.010075439218267429,0.005093412991747253,0.010905776922687458,0.06552579616221964,0.003493494000303782,0.0020353399827856816,0.010622246974836717
12345jk12345,medium,high,high,low,high,0.00480890913692736,0.018476335105036698,0.01164262212098203,0.0030372057706909645,0.0,0.02771450265755505,0.0007593014426727411,0.035180966843837,0.005315110098709187,0.000885851683118198,0.006454062262718299,0.003290306251581878,0.06517337382941027,0.034421665401164266,0.0,0.006707162743609213,0.014300177170336624,0.00012655024044545685,0.001645153125790939,0.0018982536066818527,0.00012655024044545685,0.225765628954695,0.004302708175145533,0.0010124019235636548,0.000885851683118198,0.0,0.0026575550493545936,0.0120222728423184,0.021133890154391294,0.0006327512022272843,0.0006327512022272843,0.00721336370539104,0.01885598582637307,0.001645153125790939,0.0006327512022272843,0.004935459377372817,0.009364717792963807,0.003923057453809162,0.000885851683118198,0.0026575550493545936,0.0062009617818273854,0.0056947608200455585,0.007339913945836497,0.034421665401164266,0.05327765122753733,0.045051885598582635,0.05327765122753733,0.011516071880536573,0.04188812958744621,0.0,0.0006327512022272843,0.003163756011136421,0.003163756011136421,0.004935459377372817,0.03416856492027335,0.022779043280182234,0.003163756011136421,0.012655024044545684,0.0013920526449000253,0.014173626929891167,0.060870665654264744,0.000885851683118198,0.002531004808909137,0.015692229815236648
1mas,high,low,low,low,medium,0.005307855626326964,0.016631280962491155,0.020877565463552725,0.0014154281670205238,0.0,0.03043170559094126,0.0010615711252653928,0.03397027600849257,0.003538570417551309,0.0017692852087756545,0.004953998584571833,0.004953998584571833,0.06334041047416844,0.03113941967445152,0.0,0.005307855626326964,0.014154281670205236,0.0007077140835102619,0.00035385704175513094,0.0028308563340410475,0.0,0.23496107572540695,0.004953998584571833,0.0010615711252653928,0.0,0.00035385704175513094,0.0010615711252653928,0.017692852087756547,0.01910828025477707,0.00035385704175513094,0.0014154281670205238,0.006369426751592357,0.02335456475583864,0.0021231422505307855,0.0024769992922859165,0.004953998584571833,0.00778485491861288,0.0046001415428167025,0.00035385704175513094,0.0028308563340410475,0.012384996461429583,0.003538570417551309,0.01627742392073602,0.03821656050955414,0.05272469922151451,0.03397027600849257,0.06157112526539278,0.014861995753715499,0.03503184713375796,0.00035385704175513094,0.0017692852087756545,0.0031847133757961785,0.0007077140835102619,0.00389242745930644,0.025831564048124558,0.019462137296532202,0.0010615711252653928,0.010969568294409059,0.00389242745930644,0.010261854210898797,0.056617126680820945,0.005661712668082095,0.0014154281670205238,0.00778485491861288
22Starter22,low,low,low,low,low,0.004073319755600814,0.0280040733197556,0.010819755600814664,0.0006364562118126273,0.00012729124236252545,0.026221995926680244,0.00038187372708757637,0.0420061099796334,0.0008910386965376783,0.0002545824847250509,0.005855397148676171,0.005346232179226069,0.06466395112016293,0.027367617107942974,0.00038187372708757637,0.010565173116089613,0.014383910386965376,0.00012729124236252545,0.0017820773930753565,0.00280040733197556,0.0,0.23116089613034624,0.00674643584521385,0.00012729124236252545,0.0008910386965376783,0.0002545824847250509,0.001145621181262729,0.017311608961303463,0.01591140529531568,0.00038187372708757637,0.0012729124236252546,0.004964358452138493,0.01960285132382892,0.0015274949083503055,0.0017820773930753565,0.006237270875763748,0.011965376782077392,0.0024185336048879835,0.0002545824847250509,0.0017820773930753565,0.014765784114052953,0.005346232179226069,0.00840122199592668,0.02914969450101833,0.05919042769857434,0.04035132382892057,0.04875254582484725,0.011456211812627291,0.048879837067209775,0.0,0.0008910386965376783,0.0025458248472505093,0.00012729124236252545,0.001654786150712831,0.018075356415478614,0.024439918533604887,0.00038187372708757637,0.014383910386965376,0.003309572301425662,0.01960285132382892,0.0674643584521385,0.0015274949083503055,0.0010183299389002036,0.005855397148676171
